CGNDB ID,Geographical Name,ISO Language Code,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAMSH,Williamson Provincial Park,und,Undetermined,,Provincial Park,Administrative Area,PARK,0c883eeb849c20c3f6d1656b794b1cae,55.0825000,-117.5597222,70-24-W5,Alberta,1000000,1971-12-31,AB-Ministry of Culture and Status of Women
IAMZV,Willingdon,und,Undetermined,,Hamlet,Populated Place,UNP,8147bf17d05511d892e2080020a0f4c9,53.8286111,-112.1180556,11-56-15-W4,Alberta,1000000,2017-09-01,AB-Ministry of Culture and Status of Women
IAPWZ,Willingdon Hill,und,Undetermined,,Hill,Terrain Feature,MTN,c1b5c4b7c6cd11d892e2080020a0f4c9,51.0300000,-114.1983333,24-2-W5,Alberta,50000,1957-11-07,AB-Ministry of Culture and Status of Women
IAQJA,Williscroft Island,und,Undetermined,,Island,Terrain Feature,ISL,56047ce0c6be11d892e2080020a0f4c9,57.6111111,-111.4905556,"99-9,10-W4",Alberta,250000,1965-05-11,AB-Ministry of Culture and Status of Women
IABJL,Willmore Wilderness Provincial Park,und,Undetermined,,Provincial Wilderness Park,Administrative Area,PARK,0c82cf06849c20c3fd9ecc52f2e326ba,53.7013000,-119.0558390,,Alberta,1000000,1965-07-06,AB-Ministry of Culture and Status of Women
IADRA,Willoughby Ridge,und,Undetermined,,Ridge,Terrain Feature,MTN,0c83dcdd849c20c34cd1b219c2cb6f83,49.5241666,-114.4775000,"6,7-4-W5",Alberta,250000,1943-10-04,AB-Ministry of Culture and Status of Women
IAHFN,Willow Creek,und,Undetermined,,Creek,Water Feature,RIV,0c85972a849c20c31a73b7b07e541deb,51.3758333,-112.5372222,7-28-18-W4,Alberta,250000,1955-01-20,AB-Ministry of Culture and Status of Women
IALRW,Willow Creek,und,Undetermined,,Creek,Water Feature,RIV,0c87ac55849c20c3239967a640f7337e,53.3702778,-118.3430556,51-3-W6,Alberta,50000,1956-08-02,AB-Ministry of Culture and Status of Women
IAGJS,Willow Creek,und,Undetermined,,Locality,Populated Place,UNP,0c852fb8849c20c36ba5ea328d3ebaa6,51.3819444,-112.5458333,12-28-19-W4,Alberta,250000,1955-01-20,AB-Ministry of Culture and Status of Women
IAHFM,Willow Creek,und,Undetermined,,Creek,Water Feature,RIV,0c85976b849c20c349365a06ba9c5059,53.3286111,-113.9838889,23-50-28-W4,Alberta,250000,1950-03-02,AB-Ministry of Culture and Status of Women
